NAME,ADDRESS,ZIP CODE,UNITS WITH INCOME/RENT LIMITS,HUD,SHA,STATE OF WA or COUNTY,WSHFC,CITY OF SEATTLE,YEAR PLACED IN SERVICE,COUNCIL DISTRICT
101 Broadway,840 E DENNY WAY,98122,9,,,,,X,2017,3
12th Avenue Arts,1606 12TH AVE,98122,86, , , ,X,X,2014,3
1309/1319 Dexter Ave ,1319 Dexter Ave N,98109,7,,,,,X,2017,7
13701 20th Ave NE,13701 20TH AVE NE,98125,4, , ,X, , ,2009,5
13736 Meridian Ave N,13736 MERIDIAN AVE N,98133,4, , , , ,X,2003,5
1715 12th Ave.,1715 12TH AVE,98122,7,,,,,X,2018,3
1715 Apartments,1715 NW 58TH ST,98107,9, , , , ,X,2015,6
1806 23rd Ave,1806 23RD AVE,98122,13, , , , ,X,2014,3
1811 Eastlake Supportive Housing,1811 EASTLAKE AVE,98101,75, , , ,X,X,2005,7
1812 12th Ave,1812 12TH AVE,98122,11, , , , ,X,2014,3
18TH AVENUE APARTMENTS,1543 18TH AVE S,98144,9,X, , , ,X,2002,2
2026 E Madison,2026 E MADISON ST,98122,32,,,,,X,2017,3
2500 E Union,2500 E UNION ST,98122,6, , , , ,X,1995,3
320 E Pine St,320 E PINE ST,98122,27, , , , ,X,2014,3
3904 MLK Way,3904 MARTIN LUTHER KING JR WAY S,98108,17, , , ,X,X,1986,2
410 Apartments,410 11TH AVE E,98102,6, , , , ,X,1995,3
412  APARTMENTS,412 25TH AVE S,98144,12,X, , , ,X,1994,3
47+7 Sustainable Living,4558 7TH AVE NE,98105,5, , , , ,X,2015,4
4730 California,4730 CALIFORNIA AVE SW,98116,15, , , , ,X,2015,1
4743 Studios,4743 21ST AVE NE,98105,9, , , , ,X,2014,4
507 Northgate,507 NE NORTHGATE WAY,98125,49, , , , ,X,2009,5
50th & Roosevelt Apartments,4750 ROOSEVELT WAY NE,98105,12, , , , ,X,2017,4
525 at the Enclave,525 NE NORTHGATE WAY,98125,54, , , , ,X,2015,5
708 Uptown,708 6TH AVE N,98109,24, , , , ,X,2012,7
714 Apartments,714 N 95TH ST,98103,9,,,,,X,2017,5
85th St Studios,143 NW 85TH ST,98117,8, , , , ,X,2015,6
8727 Phinney  Ave N,8727 PHINNEY AVE N,98103,8, , , , ,X,2015,5
9th & Pine Apartments,1601 9TH AVE,98101,15, , , , ,X,2015,7
Abbey Lincoln Court,2020 S JACKSON ST,98144,68, , , ,X,X,2016,3
Addison on Fourth,308 4TH AVE S,98104,250, , , ,X, ,2013,2
Admiral House,2614 42ND AVE SW,98116,15, , ,X, , ,2000,1
AJ,4505 42ND AVE SW,98116,11,,,,,X,2017,1
Aki Kurose I (Stone View),11500 STONE AVE N,98133,26, ,X, ,X,X,1999,5
Aki Kurose II,11520 STONE AVE N,98133,36, ,X, ,X,X,2000,5
Alaska House,4545 42ND AVE SW,98116,104, , , ,X, ,2004,1
Albion Place,3512 ALBION PL N,98103,12, , , , ,X,2004,4
Alder Crest Apartments,6520 35TH AVE SW,98126,35, ,X, ,X,X,2007,1
Alder Flats,220 10TH AVE,98122,19, , , , ,X,2013,3
ALDER HOUSE APARTMENTS,925 E ALDER ST,98122,42,X, , , , ,1969,3
Alex Jackson House,1901 WESTERN AVE,98101,40, , ,X,X,X,2017,7
Alma Gamble,525 25TH AVE S,98144,12,X, , , ,X,1999,3
Aloha Inn,1911 AURORA AVE N,98109,66, , , , ,X,1992,7
Altamira Apts,4100 SW ALASKA ST,98116,32, , , , ,X,2009,1
Alturra aPodments,306 SUMMIT AVE E,98102,12, , , , ,X,2012,3
Ambassador Condominiums,506 E HOWELL ST,98122,6, , , , ,X,1992,3
Angeline,4801 RAINIER AVE S,98118,39, , , , ,X,2015,2
Annapolis,1531 BELMONT AVE,98122,22, , , , ,X,1987,3
"Anthem (Yesler Terrace, outside MPC-YT)",103 12TH AVE,98122,30, ,, , ,X,2015,3
Aperture on Fifth,500 JOHN ST,98109,21, , , , ,X,2014,7
ARBOR HOUSE,8538 MARY AVE NW,98117,15,X, , , , ,1986,6
Argonaut Apartments and Argonaut House 2,539 23RD AVE S,98144,14,X, , , , ,2014,3
Aridell Mitchell Home,1502 E YESLER WAY,98122,6, , , , ,X,1991,3
Arion Court,1814 MINOR AVE,98101,37, , , , ,X,1994,7
Array,14027 LAKE CITY WAY NE,98125,64, , , , ,X,2014,5
Arrowhead Gardens,9200 2ND AVE SW,98106,443, , , ,X, ,2010,1
Ascona Apartments,200 5th AVE S,98104,12,,,,,X,2010,2
Augusta Apartments,4041 ROOSEVELT WAY NE,98105,42,,,,,X,2017,4
Aura West Seattle,4435 35TH AVE SW,98126,31, , , , ,X,2016,1
Aurora Supportive Housing,10507 AURORA AVE N,98133,87, , , ,X,X,2013,5
Avalon Ballard,1400 NW MARKET ST,98107,53, , , , ,X,2013,6
Avalon Mutual Housing,2980 SW AVALON WAY,98126,15, , , , ,X,2001,1
Avalon Place,2988 SW AVALON WAY,98126,16, , , , ,X,2011,1
Avalon Queen Anne,300 3RD AVE W,98119,41, , , , ,X,2012,7
Bailey-Boushay House,2720 E MADISON ST,98112,17, , , , ,X,1992,3
Bakhita Gardens-Rose of Lima & Noel House,118 BELL ST,98121,90, , , ,X,X,2010,7
"Baldwin Apartments (Yesler Terrace, outside MPC-YT)",1305 E FIR ST,98122,15, ,X, , , ,2014,3
Balfour Place,1820 MINOR AVE,98101,180, , , ,X, ,1993,7
Ballard House,2445 NW 57TH ST,98107,79, ,X, ,X, ,1969,6
Ballard House-CPC,7735 14TH AVE NW,98117,5, , , , ,X,1991,6
Ballard on the Park,2233 NW 58TH ST,98107,54, , , , ,X,2010,6
Ballard Public,2248 NW 64TH ST,98107,20, , , , ,X,2015,6
Barclay Broadway,412 BROADWAY,98122,24, , , , ,X,2012,3
Bart Harvey,430 MINOR AVE N,98109,49, , , ,X, ,2009,7
Barton Place,9201 RAINIER AVE S,98118,91, ,X, ,X, ,1971,2
BASE Capitol Hill,1728 12TH AVE,98122,7, , , , ,X,2014,3
"Batik (Yesler Terrace, MPC-YT)",123 BROADWAY,98104,39,,,,,X,2018,3
Bayview Tower,2614 4TH AVE,98121,100, ,X, , , ,1975,7
Beacon Hill House,1536 12TH AVE S,98144,5, , , , ,X,1991,2
Beacon House,1545 12TH AVE S,98144,6, ,X, , ,X,1994,2
Beacon Tower,1311 S MASSACHUSETTS ST,98144,108, ,X, ,X, ,1971,2
Bell Tower,2215 1ST AVE,98121,120, ,X, , , ,1970,7
Bellevue/Olive Apartments,1641 BELLEVUE AVE,98122,48, , , ,X,X,1995,3
Belltown Senior Apartments,2208 2ND AVE,98121,25, , , ,X,X,2003,7
Belmont-Boylston Apts,1411 BOYLSTON AVE,98122,16, , , , ,X,1990,3
Bergan Place Apartments,101 N 104TH ST,98133,37, , , , ,X,1998,6
Berneva,535 17TH AVE E,98112,12, , , , ,X,1992,3
Beryl,1200 E PIKE ST,98122,19, , , , ,X,2015,3
Bespoke Ballard,1506 NW 61ST ST,98107,7,,,,,X,2017,6
Bethlehem House,7132 35TH AVE SW,98126,5, , , , ,X,2000,1
Bitter Lake Manor - SSHP,620 N 130TH ST,98133,71, ,X, , ,X,2012,5
Bitterlake Facility (Moms Project),600 N 130TH ST,98133,44, , ,X, , ,1999,5
Blake,5020 CALIFORNIA AVE SW,98136,21, , , , ,X,2014,1
Blakeley Manor - SSHP,2401 NE BLAKELEY ST,98105,69, ,X, , ,X,2012,4
Booth Gardens,9722 8TH AVE NW,98117,16,X, , , ,X,1991,6
Borealis,109 DEXTER AVE N,98109,50,,,,,X,2008,7
Bowman Stone Way,3801 STONE WAY N,98103,55, , , , ,X,2016,4
Boxcar,975 JOHN ST,98109,29, , , , ,X,2013,7
Boylston Flats,1404 BOYLSTON AVE,98122,23,,,,,X,2017,3
Boylston-Howell,1726 BOYLSTON AVE,98122,30,X, , , ,X,1994,3
Bremer,2905 1ST AVE,98121,49, , , , ,X,1992,7
Brettler Family Housing,6800 62ND AVE NE,98115,51, , , ,X,X,2011,4
Brewster Apartments,133 PONTIUS AVE N,98109,35, , , , ,X,1996,7
Bridges at 11th,4557 11TH AVE NE,98105,37, , , , ,X,2015,4
Brierwood,11020 GREENWOOD AVE N,98133,23, , , , ,X,2010,5
"Brighton, The",6727 RAINIER AVE S,98118,10, , ,X, , ,1999,2
Broadcast,1420 E MADISON ST,98122,14,,,,,X,2017,3
Broadstone Clarendon,124 DENNY WAY,98109,15, , , , ,X,2017,7
Broadstone Koi,1139 NW MARKET ST,98107,31, , , , ,X,2013,6
Broadstone Lexington,1050 JAMES ST,98104,15,,,,,X,2017,3
Broadstone Sky,4745 40TH AVE SW,98116,27, , , , ,X,2015,1
Broadway Building,1620 BROADWAY,98122,19, , , , ,X,2010,3
Broadway Crossing,815 E PINE ST,98122,44, , , ,X,X,2007,3
Broadway House,2609 BROADWAY E,98102,8, , , , ,X,1996,3
Bryant House,4008 NE 57TH ST,98105,5, , , , ,X,1998,4
BRYANT MANOR,1801 E YESLER WAY,98122,58,X, , , , ,1973,3
Buchanan Place,4732 35TH AVE S,98118,12, , , , ,X,2003,2
Bunkhouse,3516 S JUNEAU ST,98118,24, , , , ,X,2001,2
Burke Gilman Place,5100 40TH AVE NE,98105,113, , , ,X,X,1985,4
Burke-Gilman Gardens,5251 SAND POINT WAY NE,98105,15, , , , ,X,1997,4
Bush Hotel,621 S JACKSON ST,98104,95,X, , ,X,X,1994,2
Byron/Wetmore,3300 WETMORE AVE S,98144,12, , , ,X,X,1992,2
Cabrini Senior Housing,909 BOREN AVE,98104,50,X, , ,X,X,2006,3
Cal Anderson House,400 BROADWAY,98122,23,X, , , ,X,1994,3
Cal Park Studios,1806 12TH AVE,98122,8, , , , ,X,2014,3
Cal-Mor Circle,6420 CALIFORNIA AVE SW,98136,75, ,X, ,X, ,1969,1
Cambridge Apartments,13030 LINDEN AVE N,98133,138, , , ,X, ,2007,5
Cambridge Apartments,903 UNION ST,98101,156, , , , ,X,1985,7
Canaday House,424 MINOR AVE N,98109,83, , , ,X,X,2010,7
Cannon House,113 23RD AVE S,98144,86, , , ,X,X,2002,3
Capitol Park,525 14TH AVE E,98112,125, ,X, ,X, ,1971,3
Caroline W. Apartments,431 BOYLSTON AVE E,98102,44, , , ,X,X,2015,3
Carroll Terrace,600 5TH AVE,98104,26, ,X, , , ,1985,3
Casa Pacifica,1167 REPUBLICAN ST,98109,63, , , ,X,X,1998,7
Cascade Cluster,710 N 85TH ST,98103,6,X, , , , ,1984,5
Cascade Court/Sterling Court,1722 BELMONT AVE,98122,107, , , ,X, ,1994,3
Cate Apartments,312 NW 85TH ST,98117,31, , , ,X,X,2003,6
Cedar House-CPC,13215 39TH AVE NE,98125,8, , , , ,X,1997,5
Cedar House-LIHI,13051 37TH AVE NE,98125,5, , , , ,X,1999,5
Cedar Park,12723 37TH AVE NE,98125,4, , , , ,X,1999,5
Cedar Park Apartments,12740 30TH AVE NE,98125,203, , , ,X, ,2008,5
Cedarvale House,11050 8TH AVE NE,98125,118, ,X, ,X, ,1971,5
Cedarvale Village,11219 ROOSEVELT WAY NE,98125,24, ,X, , , ,1971,5
Centennial Apartments,600 E OLIVE ST,98122,18, , , , ,X,2000,3
Center Park,2121 26TH AVE S,98144,137, ,X, ,X, ,1969,3
Center West,533 3RD AVE W,98119,91, ,X, ,X, ,1969,7
Centerwood,8427 DELRIDGE WAY SW,98106,12, , , , ,X,2002,1
"Central, The",2203 E UNION ST,98122,19, , , , ,X,2016,3
Centro aPodments,1304 E JOHN ST,98112,12, , , , ,X,2012,3
CENTURY HOUSE APARTMENTS,1711 23RD AVE S,98144,83,X, , , , ,1971,3
"Century, The",101 TAYLOR AVE N,98109,52, , , , ,X,2014,7
Cesar Chavez Village,1000 S HENDERSON ST,98108,25, , , ,X,X,2009,1
CHANCERY PLACE,910 MARION ST,98104,84,X, , , , ,1983,3
Charlestown Apartments,3656 35TH AVE S,98144,7, , , , ,X,2004,2
CHATEAU APARTMENTS,119 19TH AVE,98122,14,X, , , , ,1976,3
Cheryl Chow Court,2014 NW 57TH ST,98107,50,X, , ,X,X,2015,6
"Citizen, The",1220 E MADISON ST,98122,22, , , , ,X,2012,3
CityLine,4740 32ND AVE S,98118,49, , , , ,X,2016,2
Claremont Apartments,3333 RAINIER AVE S,98144,67,X, , ,X,X,2011,2
Coach House,1056 N 35TH ST,98103,8, , , , ,X,1997,4
Colman School,2300 S MASSACHUSETTS ST,98144,36, , , ,X,X,2008,3
Columbia City Station Apartments,4484 MARTIN LUTHER KING JR WAY S,98108,52, , , ,X,X,2012,2
Columbia Court,710 26TH AVE,98122,13, , , , ,X,1990,3
Columbia Gardens at Rainier Court,3605 34TH AVE S,98144,69, , , ,X,X,2014,2
Columbia Hotel,4902 RAINIER AVE S,98118,8, , , , ,X,1997,2
Columbia Place,4628 S HOLLY ST,98118,66, ,X, , , ,1984,2
"Commons at Ballard, The",5601 22ND AVE NW,98107,17, , , , ,X,2016,6
Compass Cascade Women's Program,1205 THOMAS ST,98109,34, , , ,X,X,1999,7
Compass Center 210,210 ALASKAN WAY S,98104,79, , , , ,X,2005,7
Compass on Dexter,756 JOHN ST,98109,72, , , ,X,X,2014,7
Conbela Apartments,8424 DELRIDGE WAY SW,98106,7,X, , , , ,1983,1
Cooper House,14065 ROOSEVELT WAY N,98133,4, , , , ,X,1991,5
Cora,350 1ST AVE W,98119,15,,,,,X,2017,7
Cortena,227 BOYLSTON AVE E,98102,7, , , , ,X,2013,3
Cottage Grove,5444 DELRIDGE WAY SW,98106,66, , , ,X,X,2013,1
COUNCIL HOUSE,1501 17TH AVE,98122,54,X, , , , ,1972,3
Courtland Place at Rainier Court,3621 33RD AVE S,98144,206, , , ,X, ,2004,2
Cove,601 E PIKE ST,98122,12,,,,,X,2017,3
Craft Apartments,1315 E JEFFERSON ST,98122,7, , , , ,X,2016,3
Croft Place Townhomes,6701 21ST AVE SW,98106,21, , , ,X,X,2005,1
Cubix,918 N 103RD ST,98133,6, , , , ,X,2014,5
Cue Apartments,721 E PINE ST,98122,18, , , , ,X,2015,3
Dakota at Rainier Court,3605 33RD AVE W,98199,176, , , ,X, ,2005,7
David Colwell Building,111 YALE AVE N,98109,124, , , ,X,X,2000,7
Decibel,301 12TH AVE,98122,15, , , , ,X,2016,3
Dekko Place,919 STEWART ST,98101,50, , , ,X,X,2012,7
Delridge Heights,8630 DELRIDGE WAY SW,98106,11, , , , ,X,2003,1
Denice Hunt Townhomes,620 N 85TH ST,98103,30, ,X, , ,X,1999,6
Denning,2721 17TH AVE S,98144,10, , , , ,X,2014,2
Denny 18,1823 18TH AVE,98122,7, , , , ,X,2016,3
Denny Park Apartments,230 8TH AVE N,98109,50, , , ,X,X,2005,7
Denny Terrace,100 MELROSE AVE E,98102,220, ,X, , , ,1969,3
Devonshire Apartments,420 WALL ST,98121,62, , , , ,X,1993,7
Dolly Austin Home,417 28TH AVE S,98144,6, , , , ,X,1989,3
Domingo Viernes Apartments,721 S LANE ST,98104,56, , , ,X,X,2004,2
Dorothy Day Residence,106 BELL ST,98121,41, , , ,X,X,1999,7
Dove House - Seattle,10405 RENTON AVE S,98178,5, , , , ,X,1995,2
"Eagles, The",706 UNION ST,98101,43, , , ,X, ,1996,7
East Howe Steps,1823 EASTLAKE AVE E,98102,19, , , , ,X,2016,4
East John Apartments,1113 E JOHN ST,98102,10, , , , ,X,2015,3
Eastern Hotel,506 MAYNARD AVE S,98104,46, , , ,X,X,1998,2
Eastlake Flats,2820 EASTLAKE AVE E,98102,24, , , , ,X,2016,4
Eddy at Green Lake,419 NE 71ST ST,98115,26,,,,,X,2017,6
EL NOR HOUSE,117 18TH AVE,98122,53,X, , ,X,X,2001,3
El Patio,2522 14TH AVE S,98144,14, , , ,X,X,1994,2
El Rey,2119 2ND AVE,98121,60, , , , ,X,1999,7
Eleanor,800 NE 67TH ST,98115,52, , , , ,X,2016,4
Element 42,2622 CALIFORNIA AVE SW,98116,16, , , , ,X,2011,1
Elizabeth James Senior Housing,109 23RD AVE E,98112,60,X, , , , ,1969,3
Emerald City Commons,7700 RAINIER AVE S,98118,60, , , ,X,X,2013,2
Emma Pardee Townhomes,1401 E OLIVE ST,98122,8, , , ,X, ,1992,3
Equinox Apts,1520 EASTLAKE AVE E,98102,41, , , , ,X,2010,4
Ernestine Anderson Place,2010 S JACKSON ST,98144,60, , , ,X,X,2013,3
Esperanza Apartments,6940 37TH AVE S,98118,83, , , ,X, ,2001,2
"Estelle, The",3501 RAINIER AVE S,98144,91, , ,X,X,X,2018,2
Evans House,415 10TH AVE,98122,75, , , ,X,X,2007,3
Evanston House,10539 EVANSTON AVE N,98133,6, , , , ,X,1998,5
Evolve,954 E UNION ST,98122,16, , , , ,X,2014,3
Expo,100 REPUBLICAN ST,98109,55, , , , ,X,2012,7
Fauntleroy Lofts,5949 CALIFORNIA AVE SW,98136,8, , , , ,X,2015,1
First & Vine Apartments,2519 1ST AVE,98121,80,X, , ,X,X,2012,7
Firwood,10751 2ND AVE NW,98177,27, , , , ,X,2005,5
Fleming Apartments,2321 4TH AVE,98121,30, , , ,X,X,2000,7
Footprint - Avalon Studios,3266 SW AVALON WAY,98126,12, , , , ,X,2014,1
Footprint 11th,422 11TH AVE E,98102,11, , , , ,X,2013,3
Footprint Delridge,4546 DELRIDGE WAY SW,98106,4, , , , ,X,2013,1
Fort Lawton Place,3401 W GOVERNMENT WAY,98199,24, ,X, , , ,1984,7
FOUR FREEDOMS HOUSE,747 N 135TH ST,98133,209,X, , , , ,1967,5
Franklin Studios,2371 FRANKLIN AVE E,98102,7, , , , ,X,2014,4
Frederic Ozanam House,801 9TH AVE,98104,56, , , ,X,X,2009,3
Fredonia,1509 E MERCER ST,98112,7, , , , ,X,1987,3
Fremont Place,4601 PHINNEY AVE N,98103,31, ,X, , , ,1984,6
Fremont Solstice Apartments,3623 WOODLAND PARK AVE N,98103,17, , , ,X,X,2008,4
Frye Apartments,223 YESLER WAY,98104,233,x, , ,x,X,1999,7
Genesee Housing,4425 MARTIN LUTHER KING JR WAY S,98108,49,X, , ,X,X,2006,2
George B,639 NW 85TH ST,98117,8, , , , ,X,1991,6
Gideon-Mathews Gardens,323 25TH AVE S,98144,45, ,X, , , ,1986,3
Gilman Court,1116 NW 54TH ST,98107,25, , , ,X,X,1996,6
Gilmore,1530 3RD AVE,98101,64, , , ,X,X,2003,7
Glen Hotel,1413 3RD AVE,98101,37, , , ,X,X,1996,7
GOLDEN SUNSET APARTMENTS,3256 NW 54TH ST,98107,92,X, , , , ,1968,6
Good Shepherd Center,4649 SUNNYSIDE AVE N,98103,6, , , , ,X,2003,4
Gossett Place,4719 12TH AVE NE,98105,62, , , ,X,X,2011,4
Graham/Terry Apartments,2014 TERRY AVE,98121,117, , , ,X, ,1992,7
Green Lake Plaza,505 NE 70TH ST,98115,130, ,X, ,X, ,1970,6
Greenhouse,3701 S HUDSON ST,98118,25, , , , ,X,2012,2
Greenwood Apartments,12701 GREENWOOD AVE N,98133,6, ,X, , , ,1981,5
Greenwood Home,202 N 110TH ST,98133,11, , , , ,X,2001,5
Greenwood House,8808 6TH AVE NW,98117,10, , , , ,X,1999,6
H2O Apts,201 W HARRISON ST,98119,8, , , , ,X,2012,7
Haines Apartments,1415 E OLIVE ST,98122,29,X, , ,X,X,2015,3
Hamilton Apartments,2302 E MADISON ST,98122,11,,,,,X,2017,3
Harbor House - Dutch Shisler,1107 VIRGINIA ST,98101,20, , ,X, , ,1996,7
Harder House,8504 WALLINGFORD AVE N,98103,7, , ,X, , ,2007,5
Harrison House,346 15TH AVE E,98112,19, , , ,X,X,2001,3
Harvard Court,610 HARVARD AVE E,98102,81, ,X, ,X, ,1969,3
Harvey Apartments,2615 E CHERRY ST,98122,18, , , , ,X,2000,3
HAZEL PLAZA I,2021 E JOHN ST,98112,16,X, , , ,X,1991,3
Heather Apts,934 N 98TH ST,98103,16, , ,X, , ,1995,5
Heg House,711 E UNION ST,98101,10, , , ,X,X,1991,3
Helen V Apartments,1319 E UNION ST,98122,38,X, , ,X,X,2002,3
Helene Apartments,414 NE RAVENNA BLVD,98115,13, , , , ,X,2016,6
Hiawatha Artist Lofts,843 HIAWATHA PL S,98144,60, , , ,X,X,2008,3
High Point Phase I,2714 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2716 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2718 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2720 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2721 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2725 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2726 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2727 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2728 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2729 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2731 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2732 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2734 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2735 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2737 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2738 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2740 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2741 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2743 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2744 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2746 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2747 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2749 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2750 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2752 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2753 SW MACARTHUR LN,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2809 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2811 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,2815 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3001 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3003 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3005 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3007 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3100 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3100 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3102 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3102 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3104 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3104 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3106 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3106 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3108 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3108 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3110 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3110 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3112 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3112 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3114 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3114 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3116 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3116 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3118 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3118 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3120 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3120 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3122 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3122 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3124 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3124 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3126 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3128 SW RAYMOND ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3202 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3204 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3206 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3208 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3210 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3212 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3235 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3237 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,3239 SW GRAHAM ST,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5910 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5910 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5912 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5912 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5914 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5916 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5916 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5918 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5918 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5920 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5920 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5922 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5922 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5924 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5924 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5926 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5926 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5928 32ND AVE SW,98126,1, ,X, ,X, ,2006,1
High Point Phase I,5928 HIGH POINT DR SW,98126,1, ,X, ,X, ,2006,1
